id	mode	chain_id	step	location	country	latitude	longitude	typology	tags	image_id	source_image_url	local_image_url	image_url	text	sentiment	source_row	order_hint
windows-105	windows		image	Alexandria	US	38.8051095	-77.0470229	window_photo	windows,image,photo	1o3x0yiOVJGHDQqnyGZ_k3vMR-j3QUcBH	https://lh3.googleusercontent.com/d/1o3x0yiOVJGHDQqnyGZ_k3vMR-j3QUcBH=w2200	/images/1o3x0yiOVJGHDQqnyGZ_k3vMR-j3QUcBH.jpg	/images/1o3x0yiOVJGHDQqnyGZ_k3vMR-j3QUcBH.jpg			153	502
broken-151-image	broken	broken-151	image	Alexandria	US	38.8051095	-77.0470229	window_photo	broken,image,window	1o3x0yiOVJGHDQqnyGZ_k3vMR-j3QUcBH	https://lh3.googleusercontent.com/d/1o3x0yiOVJGHDQqnyGZ_k3vMR-j3QUcBH=w2200	/images/1o3x0yiOVJGHDQqnyGZ_k3vMR-j3QUcBH.jpg	/images/1o3x0yiOVJGHDQqnyGZ_k3vMR-j3QUcBH.jpg			153	503
broken-151-text	broken	broken-151	text	Texas	US	31.2638905	-98.5456116	nature	broken,text,description,nature					trees gives pure oxygen to human beings and absorbs carbon di oxide.		153	504
broken-151-drawing	broken	broken-151	drawing	Fort Walton Beach				drawing_response	broken,image,drawing	1O2JQ9GRLsJWRj-B8kvLf6afuNP_96uyi	https://lh3.googleusercontent.com/d/1O2JQ9GRLsJWRj-B8kvLf6afuNP_96uyi=w2200	/images/1O2JQ9GRLsJWRj-B8kvLf6afuNP_96uyi.jpg	/images/1O2JQ9GRLsJWRj-B8kvLf6afuNP_96uyi.jpg			153	505
broken-152-image	broken	broken-152	image	Alexandria	US	38.8051095	-77.0470229	window_photo	broken,image,window	1o3x0yiOVJGHDQqnyGZ_k3vMR-j3QUcBH	https://lh3.googleusercontent.com/d/1o3x0yiOVJGHDQqnyGZ_k3vMR-j3QUcBH=w2200	/images/1o3x0yiOVJGHDQqnyGZ_k3vMR-j3QUcBH.jpg	/images/1o3x0yiOVJGHDQqnyGZ_k3vMR-j3QUcBH.jpg			154	506
broken-152-text	broken	broken-152	text	Texas	US	31.2638905	-98.5456116	nature	broken,text,description,nature					trees gives pure oxygen to human beings and absorbs carbon di oxide.		154	507
broken-152-drawing	broken	broken-152	drawing	Curitiba				drawing_response	broken,image,drawing	1WX7epqXhsfleGemIkZCjN6xzYC7r_ODF	https://lh3.googleusercontent.com/d/1WX7epqXhsfleGemIkZCjN6xzYC7r_ODF=w2200	/images/1WX7epqXhsfleGemIkZCjN6xzYC7r_ODF.jpg	/images/1WX7epqXhsfleGemIkZCjN6xzYC7r_ODF.jpg			154	508
windows-106	windows		image	Ciudad de México	MX	19.4326296	-99.1331785	window_photo	windows,image,photo	1xFDD1FUUuvm7LYu9yyBCo8oN7vH9DD9Y	https://lh3.googleusercontent.com/d/1xFDD1FUUuvm7LYu9yyBCo8oN7vH9DD9Y=w2200	/images/1xFDD1FUUuvm7LYu9yyBCo8oN7vH9DD9Y.jpg	/images/1xFDD1FUUuvm7LYu9yyBCo8oN7vH9DD9Y.jpg			155	509
broken-153-image	broken	broken-153	image	Ciudad de México	MX	19.4326296	-99.1331785	window_photo	broken,image,window	1xFDD1FUUuvm7LYu9yyBCo8oN7vH9DD9Y	https://lh3.googleusercontent.com/d/1xFDD1FUUuvm7LYu9yyBCo8oN7vH9DD9Y=w2200	/images/1xFDD1FUUuvm7LYu9yyBCo8oN7vH9DD9Y.jpg	/images/1xFDD1FUUuvm7LYu9yyBCo8oN7vH9DD9Y.jpg			155	510
broken-153-text	broken	broken-153	text	Georgia	US	32.3293809	-83.1137366	nature	broken,text,description,nature					one van parking on the road		155	511
