"Informazioni cronologiche","Upload a photo of the view from your window","In which city do you live?","Insert your Worker ID"
"2022/06/17 1:00:10 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1V-sxGmsSnhKeRa5Ng2PlqW49pQdwmeBE","SALEM","A2OD4LJKPZDL2J"
"2022/06/17 1:01:30 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1SbcLznUmIJPi5rrchz6e_uILrHyJwqBo","Silverton, Oregon","A3NE9GP4X1AO2P"
"2022/06/17 1:07:49 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1VuGqxy611Pld2WcdkfoptM5ltIG5hkSX","Albuquerque ","A103BJIOJSDJL1"
"2022/06/17 1:27:34 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1JgQe2VergNYFwZFddsb3UtWwl7W10pGG","rome","A2TYKD6ON6RW6P"
"2022/06/17 1:28:39 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1nRyDtkZA12RJPZEZ8u9NScq5Too-lVVR","KARUR","A3329OQT52I6TJ"
"2022/06/17 1:45:53 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=11a-joXLKqjzn8GOTSZUJkQi2Aur0q81F","Hollywood","A3FKGLQDQF5XWR"
"2022/06/17 1:52:08 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1HCQ-cSjvK_Kd9c_HckS2zQPmktk1xdYJ","San Francisco","A2587JRTCPY3UD"
"2022/06/17 1:52:48 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1aRBo3-z5uOYzqAcr_LkGXlwKb1feSa74","Buckeye","A1VVNM38WZ9K7Y"
"2022/06/17 2:00:48 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1FUaMeRjUB_NIIOFGBxDFK9ZrI8B0Hz-p","rio de janeiro","APPU3QLC0TEHI"
"2022/06/17 2:03:20 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1hETxKwIK-r5-3aYNZ9__ihoi2C9RDlwt","Boston","AIJWQEWO9PTR7"
"2022/06/17 2:29:20 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1jmAJAsPnCmw4RRAeCERqb3W8_uoe52bX","burleson","AEG7AGOC4OONU"
"2022/06/17 2:29:45 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1HoFoemjraYCwrJSZ-EXiTpjvJtNSM8ap","burleson","AEG7AGOC4OONU"
"2022/06/17 2:38:59 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=14PpjTCX7iBgJalYYutynVvYJPNIV3cmb","Potsdam","A3FB21RWSQGY8I"
"2022/06/17 3:12:44 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1MtkaMoZGnGmC7tOauKmnyd8VddmWLTHy","Bellevue","A2AB3WH9OAGAVD"
"2022/06/17 3:18:25 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1LDXiH2L5IJiUhBEDR0i5d9ddJ9ZqSR81","Bengaluru","AJDQGOTMB2D80"
"2022/06/17 3:39:29 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1299XG3NCVrWOZJwl7A8A0vqsytNbCEtl","maple city","A5VV2BPMPA2KO"
"2022/06/17 4:52:22 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1TYEPWiQHaqbvvFksgBpezZ4FIrSikB9_","Eugene OR","A165B6OBV91OAL"
"2022/06/17 5:01:04 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1J2aTm09seZ_Ttiuacxo4rvUs-nkQPpM0","Angra dos Reis - Rio de janeiro","A208IN7KW4SII4"
"2022/06/17 5:04:40 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=16d_y28K6xolcvGL9Fe2zhZsuqZ5xuMuh","Rockford ","A3TM2WKKX10WNP"
"2022/06/17 5:09:21 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1kmS28Q8D-7OOs-DrHo_cBUZdClyPUdKk","COIMBATORE","AK8WZAFALWBAO"
"2022/06/17 5:10:49 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1bJu9KP9MB238cvMHacNzcx587yckeunG","COIMBATORE","A2URMYFRQM2WHN"
"2022/06/17 5:32:52 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1_Ubyuw-tIK5-JpNvNOnmNLXAM7-mSJ8h","AZ","A1WOLTQUOKJAML"
"2022/06/17 5:51:05 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1b1u34zvlNgmE0G7cw0qsjBtYciKg_NBo","Tirupur","AOXZTWX1NLYW5"
"2022/06/17 5:51:15 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=11q6Y9l0lP7BvTz-3ufFNBbTWkOFt3sHR","Mumbai","A32T6QSF3V8ULE"
"2022/06/17 6:09:36 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=13gjKaxfSYWhiP2OVBYtzm_I5zCR_MNQG","Tuticorin","A258PTOZ3D2TQR"
"2022/06/17 6:25:09 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1LmxZb5fF2SBLK3QmtCG7ckDah-_NhKCn","Eugene OR","A3DZDEDYYYUZWK"
"2022/06/17 6:34:30 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1Y2dPuaIeF8WIkCjgzPmTj-oaO9UnQOrL","Anderson","23765472"
"2022/06/17 6:38:04 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1zmxo5SHWPGMVw8yoDFWfmVbLxcIoYAa9","Blagoevgrad","AXAXLC0TXQ0QW"
"2022/06/17 6:54:21 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1i10c19g26IxvoShW8KSeZn_32jxzS4lz","Mumbai","A1PLYCAJ431MTW"
"2022/06/17 7:02:03 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1EpIQoH4rCnuh5UXyCaqC_0JDYuRm3CFt","Kochi ","ADZQIBZTP9N78"
"2022/06/17 7:26:11 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1nkFBCWMas5H4L6NO4460fnXwjsIfST8p","Knoxville ","A1NQHBV50V6X65"
"2022/06/17 7:27:45 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1TWKXzvDEMTjDyzUS-uxlAyUCXzkC4y16","BANGALORE","A3QIB8UI9DG12G"
"2022/06/17 7:30:35 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1s5zZaRmvTLKbkaQTmv09_zQHZI1egkPY","Malappuram","A25VNYKP7SASYC"
"2022/06/17 7:34:58 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=15O0nyZcjOBvk5nR0gK59E18p2anJIFVg","Guwahati","A10SM49VPGK2VE"
"2022/06/17 7:43:19 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1ncbDrQ7P4ruAXq6G41kG6NBjutudvatc","Jaipur","A35D23Z7TE4WTC"
